,Go2 flat,Go2 bumps,Hugo flat,Hugo bumps
수직변동 RMS [mm],4.311249338163151,6.628330351010463,13.850756894202426,10.75897037371162
수직변동 P2P [mm],34.20799899473785,40.42821615561843,128.97806809272296,61.470198556780815
수직변동 RMS [체고%],1.1589379941298792,1.7818092341425977,1.3191197042097549,1.0246638451153924
z 원시 표준편차 [mm],14.21539885825465,12.342733156014635,19.328996535478,15.503461060311372
틸트각 RMS [deg],6.833498316828186,5.099758449697899,4.237288844466265,4.466939692461505
틸트각 P95 [deg],12.0148609521985,8.70267275691032,7.552534064540153,7.014434727132318
틸트각 최대 [deg],16.413285791873932,12.976208961009979,14.546380234353336,9.222184175252915
roll RMS [deg],3.6864159142822515,3.877982064688274,3.0404572445629148,2.4461125284522667
pitch RMS [deg],5.483551221065522,3.282740137031138,2.6832731118047626,3.5540798328536383
각속도 xy RMS [rad/s],0.35842438286896305,0.43593866380947066,0.27846867434554895,0.3585920871002198
평균 전진속도 [m/s],0.05864852605576702,0.24881481599828686,0.2740469132836352,0.3127088860858495
속도 추종오차 [m/s],0.24153954017482865,0.05601221106177674,0.03759843367210198,0.08407048210447628
★지형 높이 표준편차 [mm],0.0,5.658167245647222,3.9513345434796934e-07,5.097773117210067
★지형 높이 범위 [mm],0.0,28.03189940750599,1.0302037368586033e-05,26.483671716414392
"지형 추종 계수 (0=수평유지, 1=추종)",,0.2225226536646268,,-0.12282759751590314
env당 측정시간 [s],76.77499999999836,76.99999999999835,76.67249999999837,76.03749999999837
env 수,16.0,16.0,16.0,16.0
유효 구간 수,80.0,80.0,81.0,80.0
