,Go2 flat,Go2 bumps,Hexapod flat,Hexapod bumps
z_sigma_total_mm,21.080254359003128,10.829379833299605,24.315854240640085,13.641929432251198
z_sigma_total_mm_q1,18.19185005453685,9.14927021167784,4.8804329164175595,12.95572007923717
z_sigma_total_mm_q3,23.924954165930274,13.971673904007487,29.460523486976744,14.514519521994874
z_sigma_slow_mm,17.748414251993974,7.876911243886251,12.174939967631147,8.36472702543372
z_sigma_slow_mm_q1,14.086608407860105,7.10958922704109,2.272316767528906,7.2561251772327156
z_sigma_slow_mm_q3,21.429674820735382,12.137141067033959,18.795790692143278,9.65250216974946
z_sigma_gait_mm,10.939494902245755,6.7227873254479835,19.62404226564481,10.771441646239529
z_sigma_gait_mm_q1,9.961335269597505,5.713734780821436,4.194068581739144,10.022266323072165
z_sigma_gait_mm_q3,11.963864552016956,8.340322718298882,24.015690848554605,11.604830093351914
z_slow_share_pct,72.17097719277565,58.27970607581618,25.881747808930363,38.474842744611514
z_slow_share_pct_q1,63.941680673118185,51.83002648993177,19.83449728952747,31.697206097998713
z_slow_share_pct_q3,77.58435058259452,71.58169025633416,36.58758844296013,45.779652943367964
z_p95_mm,44.88360608617465,21.711837202310605,39.19752408564053,25.87305192649371
z_p95_mm_q1,39.68983237942059,17.48567676792541,9.873625710606557,24.439113512635295
z_p95_mm_q3,53.50449209411937,29.97990436851977,64.29160735756155,28.9838879555464
z_within_5mm_pct,14.583333333333332,35.66666666666667,61.083333333333336,26.833333333333336
z_within_5mm_pct_q1,10.666666666666668,30.791666666666668,34.91666666666667,23.833333333333332
z_within_5mm_pct_q3,19.291666666666668,44.541666666666664,72.875,30.25
z_within_10mm_pct,32.08333333333333,67.58333333333333,83.5,52.0
z_within_10mm_pct_q1,23.583333333333336,58.958333333333336,69.0,48.5
z_within_10mm_pct_q3,42.875,74.875,95.41666666666667,54.166666666666664
z_within_15mm_pct,56.5,87.16666666666667,88.33333333333333,71.5
z_within_15mm_pct_q1,41.75,79.33333333333333,84.375,68.75
z_within_15mm_pct_q3,70.08333333333334,91.375,99.54166666666667,75.04166666666667
z_within_20mm_pct,77.33333333333333,93.91666666666667,91.91666666666666,85.83333333333333
z_within_20mm_pct_q1,65.41666666666667,88.625,87.95833333333333,84.125
z_within_20mm_pct_q3,85.375,96.66666666666667,100.0,88.16666666666667
z_within_30mm_pct,89.25,98.5,93.75,97.83333333333334
z_within_30mm_pct_q1,85.66666666666667,94.91666666666667,90.83333333333333,95.79166666666667
z_within_30mm_pct_q3,91.66666666666666,100.0,100.0,98.66666666666667
zrel_sigma_total_mm,21.080253481625377,11.686300347668908,24.315854240640085,14.362996227080544
zrel_sigma_total_mm_q1,18.19185005453685,10.045377731337858,4.8804329164175595,13.66684827498041
zrel_sigma_total_mm_q3,23.924954165930274,14.71570695510119,29.460523486976744,16.454413230719673
zrel_sigma_gait_mm,10.939494902245755,7.3243349048538615,19.62404226564481,11.066920780696485
zrel_sigma_gait_mm_q1,9.961335269597505,6.373815438112196,4.194068581739144,10.688842944061404
zrel_sigma_gait_mm_q3,11.963864552016956,8.618436062136732,24.015690848554605,11.945464032571376
tilt_p95_deg,12.229795289039608,8.459208083152769,6.677924335002897,4.870189654827118
tilt_p95_deg_q1,11.677037549018857,7.574866086244582,3.00171550810337,4.476794445514678
tilt_p95_deg_q3,13.363345384597768,9.276334726810447,13.300680732727038,6.4795132756233205
tilt_median_deg,4.437127351760864,3.9517563581466675,2.3762319684028625,3.012321949005127
tilt_median_deg_q1,4.015554666519165,3.686256468296051,2.335252434015274,2.7209888994693756
tilt_median_deg_q3,4.6971933245658875,4.422518491744995,2.4791794419288635,3.195769727230072
tilt_rms_deg,6.245650323294125,4.805372644987569,3.9619213246979723,3.1823765091997824
tilt_rms_deg_q1,5.7196153549356366,4.509252019676945,2.3536560294881976,2.99970574879302
tilt_rms_deg_q3,6.716856003152065,5.240298753958367,5.435153206975397,3.7672922078101463
roll_rms_deg,5.357846473295277,3.729639381854616,2.94154538842524,1.7325487699814475
roll_rms_deg_q1,4.875894767547747,3.311667453726406,0.7614349668987712,1.5312491371566292
roll_rms_deg_q3,5.818355628602836,3.9640583326669074,4.553567603035356,2.127567383400408
pitch_rms_deg,3.1557525331796477,3.0854020103940636,2.3873240349823615,2.7281398606015044
pitch_rms_deg_q1,2.7620299246867583,2.851529638215927,2.183660299658848,2.536151440228227
pitch_rms_deg_q3,3.546446244664967,3.4381352915186048,2.952606304860491,3.1258049566525563
